Text,Sentiment,PositiveCount,NegativeCount
"I think my fav is either the cleansing balm or the 
sheet masks!!!!
for anyone who needs this <3 


I love your hair
I love your eyes
I love your strength 
I love your voice
I love your style 
I love your eye lashes
I love your nose
I love your confidence 
I love your forehead 
I love your hands 
I love your shoulders 
I love your ears 
I love your cheeks 
I love your mouth
I love your personality 
I love that you are brave
I love that you are kind 
I love that you are strong 
I love that you are you
I love that you are smart
I love that you are creative 
You are beautiful
You are nice
You are confident 
You are smart
You are unstoppable 
You are perfect
You are unique 
You are amazing
You are pretty
I love you when you’re mad
I love you when you’re sad
I love you when you’re happy
I love you when you’re anxious 
I love you when you’re embarrassed 
I love you when you’re cheerful 
I love you when you’re disappointed 
I love you when you’re at your lowest
I love you when you’re at your highest 
I’m proud of you for eating
I’m proud of you for setting goals
I’m proud of you for getting up
I’m proud of you for learning 
I’m proud of you for trying 
I’m proud of you for smiling
I’m proud of you for going outside
I’m proud of you for spreading kindness 
I’m proud of you for being you
I’m proud of you no matter what
I know you’re insecure but everyone is
I know you’re not happy but your not alone
I know you’re getting bullied but don’t listen to them
I know you’re sad but try to be happy
I know you’re miserable but your still standing 
I know you feel hated but you are loved
I know you feel sad but deep down you’re happy
I know you feel disappointed but you are proud
I know you are depressed but smile!!

insecurities are only real because of society, so ask yourself.. “would you be who you are right now if it weren’t for them?” and what would you say? don’t hate yourself, because you are worth the world! everyone is different and that’s a good thing. don’t be insecure, just set goals! be yourself and learn to love who you are <3
Maybe check out my channel?",긍정,34,1
The texture of the aou lip balm 🤩💕 is stunning,중립,0,0
HELP U GUYS ARE SO PRETTY-,중립,0,0
They're so pretty ❤,중립,0,0
That Gua sha ring!!!!!!!!,중립,0,0
the second girl is so cutee and pretty💗🥹,중립,0,0
All the girlies are soo pretty,중립,0,0
ALL I WANT IS THAT STINKING HELLO KITTY POUCH,중립,0,0
I love seeing what people use even though I don’t have access to those products 😂,긍정,1,0
Those bags are super cuteee,중립,0,0
Hi where to get the gua sha ring? Id love for my tension headaches! Thanks!,긍정,1,0
love the color!!,긍정,1,0
HALP HOW IS RACHEL ACTUALLY SO CUTE,중립,0,0
I to try tamburins so bad but it doesn't ship worldwide,부정,0,1
Cap vibe,중립,0,0
Thanks,중립,0,0
Does it really work? The one for the smile lines,중립,0,0
Does the one for smile lines work really well?? My smile lines are my #1 insecurity and id love to get a product to cancel them out!,긍정,1,0
Does anyone know the name of the brush that the aou girlie used?,중립,0,0
"Hi guys  
Where to get tamburin perfume balm",중립,0,0
первая!!,중립,0,0
I think the lighting makes these look warmer cause in real life they look more coolish 🩷,중립,0,0
i JUST ordered bare grape!! can’t wait to try it,중립,0,0
rom&nd juicy lasting tint #33 bare vine is my favorite lip tint <5,중립,0,0
Your lippies and nails always slays😌🎀🩷✨,중립,0,0
可愛いが詰まった色してる、、、♡,중립,0,0
"I am Korean. First of all, thank you for using our Korean cosmetics and songs.
A few years ago, there were many people who didn't know Korea at all, but now I'm happy that Korean things like BTS have become famous. I don't know if the meaning will be conveyed well using a translator. For your information, I like Lei from the girl group Ive.",중립,0,0
They are soo glossy and pretty 🎀🩰✨️,중립,0,0
these are for every undertones 🤭🩷,중립,0,0
Ahhhhh I love the concept of fwee having 70% and 30% pigmentation. I wish their products were cheaper where I live😭😭,긍정,1,0
Very beautiful color ❤,중립,0,0
I love fwee❤,긍정,1,0
Love the romand ❤❤❤,긍정,1,0
it's so pretty 😭,중립,0,0
"It's so Beautiful 😍,",중립,0,0
The first two 😍,중립,0,0
Hey you got a new subbie!! Right here 🤭😊💗✨️🎀🐰,중립,0,0
I’m obsessed. I’m so obsessed.,중립,0,0
I have one of those,중립,0,0
I love how you don't waste alot of product like everyone else does! This is nice to watch :D,긍정,1,0
Gurl has more lipsticks than sephora and ulta combined 💀😭,중립,0,0
I Like vanilla 70 % ❤❤❤❤❤❤,중립,0,0
"i think the lighting makes these look warmer, cause i have two of the rom&nd ones with the same color and all, but it looks cooler",중립,0,0
Bare grape is my fav! It’s always sold out for me tho,중립,0,0
I like the second one,중립,0,0
I Love The 2nd One,긍정,1,0
Do any of these work on darker skin tones? I love your content🩷,긍정,1,0
"cntikkk bgt warnanyaa, mww",중립,0,0
So Beautiful❤❤😮😮,중립,0,0
Cuteeee,중립,0,0
Nice,중립,0,0
perfect,긍정,1,0
i need those nails,중립,0,0
Nice 🎉,중립,0,0
Romand 24 is best,긍정,1,0
Colorgram - shy guava is also really nice. Best pink shade I’ve ever owned,긍정,1,0
I like vanila,중립,0,0
Packing is so pretty!,중립,0,0
These lippies look sooo cuteee!! I’m feeling lucky because i have the third lippy!,중립,0,0
Changing my fyp 1/100 ☆,중립,0,0
I want all !! 🎀🎧,중립,0,0
Wow ❤😂,중립,0,0
I love third❤,긍정,1,0
so glossy and cute,중립,0,0
Nice ❤❤,중립,0,0
These look so prettyyyy,중립,0,0
I ❤️ SOUTH KOREA 🇰🇷,중립,0,0
Cuteeeee ❤❤❤,중립,0,0
the way i own 2 of these lippies 😍,중립,0,0
1st & 2nd are my favourite shades,중립,0,0
Formulating ancient skincare and makeup was so much harder than I thought! 👀🫢 What ancient/natural beauty tips do you guys still follow?,중립,0,0
"We need more of these, i see so many videos if ""ancient beauty techniques"" but all they show are diy face masks this was seriously so interesting",중립,0,0
I think I like the ancient way a little bit more💗,중립,0,0
"Love this!!! As someone who loves history, this was interesting to watch. :)",긍정,1,0
Gurll... You look gorgeous in the ancient make-up look. Literally straight out of some historical drama... (Giving me alchemy of souls vibe),중립,0,0
"Lovely
The pure ancient methods appeal even more",중립,0,0
Girl why aren't you going viral?😭😭😭💗💗💗,중립,0,0
"I have that anua pore cleanser, it is magical , quite affordable and works really good ❤",긍정,1,0
you look like shuhua from idle in the shot of you in the final results (you look so prettyyy💖💖💖),중립,0,0
Your skin looks so beautiful ♥️,중립,0,0
Your actually so pretty ❤,중립,0,0
i still use pea powder as my face cleanser + scrub.. it removes extra oil and exfoliates gently.. I'm not into chemical facewashes yet,중립,0,0
The rice water toner is good in any time period like I had so much problems with my skin but after using rice water toner like my classmates compliment my skin SI much,긍정,1,0
I love it! Natural goodness,긍정,1,0
You look best natural,긍정,1,0
"This is so fascinating! We sometimes forget that our ancestors knew already so much! Thanks so much for sharing, you are beautiful! 👍🏽🪶🍉❤️",중립,0,0
I like the ancient one!,중립,0,0
The old fashioned way is so beautiful,중립,0,0
Your wayy too pretty ( FOR REALL) 💗✨ luv uu,중립,0,0
"I love learning more abt other cultures , especially countries old skin care , hair styles , so this video was qo interesting even tho its shortt",긍정,1,0
Ancient one is an Diva,중립,0,0
They also used cinnabar in China for lip colour. It was also used by Cleopatra . The thing is that it was an ore of mercury and was very poisonous.,중립,0,0
I love natural more ❤,긍정,1,0
just happy to hear lead wasn't involved,중립,0,0
Modern lip and eyebrows makeup with the modern makeup for the rest would look good on you.,긍정,1,0
Thnks ❤,중립,0,0
the ancient lips are FIREEEE,중립,0,0
Your nails 💅 is soooooo beautiful 😍😍😍😍😍😍😍,중립,0,0
"I just want tell you, you're one of the most pretty and beautiful woman I've ever seen! Following you from the start! I hope the best for you ❤ 😊",긍정,1,0
The ancient way seemed more in harmony with the Earth,중립,0,0
The baddies were eating up even 2 centuries ago yazzzzz 😍✨️✨️,중립,0,0
"that’s so informative and cool, thank you:)",중립,0,0
"I guess ancient time was simple and less confusing 😅. In my culture we used turmeric, neem,besan,curd,lentil beans, butter, rose petals and water,sandalwood  powder, shankh powder, honey,rice starch,soap nuts,multani mati,rain water for skin care and for makeup they used shankh powder as base, charcoal powder mixed with oil as eyeliner, alta for feet and hand decorating also nail, mehedi leaves for nail stains, sidhur or tip or sometimes  used sidhur mixed with oil as lipstick or there were some types of flower petals or powder available to use as lipstick and some amber smell for hair. The only thing is these were only available for elites and middle class women",중립,0,0
Why does the left side low-key look better 👀,중립,0,0
They look good both of them ... You did good with the ancient ways.  You can barely tell the difference 😊,긍정,2,0
Your skin is so pretty ❤😊,중립,0,0
Foundation name  please,중립,0,0
"Wow your so beautiful also Im going try this
❤️",중립,0,0
Ancient ❤,중립,0,0
"I like this series. Keep it up!

Other channels do clickbaits and obnoxious face masks with pictures attached of unreal results. Yours it very interesting and educational and real.",중립,0,0
"such a cool video, thanks for researching",중립,0,0
I love your video ❤,긍정,1,0
i still use homemade rice toner today lol,중립,0,0
You look like moon ga young the kdrama actress,중립,0,0
Y does the ancient side look better 😂😂,중립,0,0
I swear you would've been classified as one of the most well known beauties if you during that time ❤,중립,0,0
Aww ur voice is soo cute,중립,0,0
1825: what is “skincare?”,중립,0,0
good 💖,긍정,1,0
"I prefer 2025, but 1825 is natural and no allergic....🙃",중립,0,0
changing my fyp 11/100💕,중립,0,0
changing my fyp 99 /100,중립,0,0
So pretty..,중립,0,0
