Text,Sentiment,PositiveCount,NegativeCount
"Alcohol in skin care is not pure Alcohol. It's just formulation, used as solvent. It doesn't irritate skin.
This is why you don't listen to influencers.",중립,0,0
Can you please review Naturie Hatomugi? I feel like I'm having a breakout of this toner 😞,중립,0,0
"While I prefer japanese culture overall, I do prefer Korean skincare with the things I have tried so far.",중립,0,0
I need to buy the Korean one then.😅,중립,0,0
Love you 🥰 ❤,긍정,1,0
Loooivveee yoooouuu❤❤❤❤❤,중립,0,0
Mine Sensitive Asssss Skin doesn't tolerate the fragrance and colour 💀,중립,0,0
Can you please make a video for lador brand which shampoo is for which hair type. ❤,중립,0,0
Did you ever try any skincare product from conscious chemist ?,중립,0,0
Can u suggest me a face wash for acne and acne scar .I am a teenage girl❤❤❤❤plzz suggest mee,중립,0,0
"Tbh ,I don't understand why peel off masks made a comeback?🙂",중립,0,0
저는 귀엽게 생겨서 일본 제품을 주로 사용하는데 한국 제품이 제 피부에 더 좋았어요! (팁 감사 합니다),긍정,1,0
Japanese skin must be overall strong and not sensitive bc so many products are scented. I’m like babay. If i don’t want to wake up and my face be one giant pimple…I can’t buy this 😢,중립,0,0
Korea,중립,0,0
"Ok tbf not every brand is same or has the same formula, or ingredients. I have 2 korean mask and they're very different from each other and same for my Japanese masks

If u take their most popular masks then it's understandable but otherwise it makes no sense cuz the entire skincare line of a whole country is not just 1 mask, there are many. 

Not hating btw",중립,0,0
Low key tho Korea copy’s Japan it’s actually a fact,중립,0,0
❤❤,중립,0,0
"Hi sis ,I'm your new subscriber from Pakistan and love your videos,I'm a teenager girl and I have no acne or pimples but I don't know why my skin looking yellow my actual skin colour is white but It become yellow or In other words Dull skin please if you know the solution please solve my problem...",긍정,1,0
Didn't the korean one went viral because winter's makeup artist used it for the unreal glow,중립,0,0
"i’d take alcohol in a mask, so not a daily product, over higher % of oil any day🥲 because it would be enough for my skin to break out",중립,0,0
Was the made from halal ingredients other than being alcoholfree,중립,0,0
tosowoong,중립,0,0
First,중립,0,0
Pni me for being under 24 hours 😅,중립,0,0
Can teens use the peel of masks?,중립,0,0
❤❤❤❤,중립,0,0
"I was literally going to mention the little exfoliating beads too! I received it and was shocked no other influencers that I saw mentioned that. It can make it not the best daily use cleanser for most skin types. 

I used the Anua cleanser with exfoliating beads daily and in the end it dried out my skin a LOT and caused so much redness.",긍정,1,0
doesn’t the arencia have a spatula? i use that and then wash it off afterwards.,중립,0,0
I think her Arencia cleanser doesn’t come with a spatula bc it looks like a mini size. I’m not sure of if a spatula comes with a mini size too or not though,중립,0,0
"As someone who has easily irritated, oily-dehydrated skin, the celimax ampoule is one of my faves to use before makeup to hydrate my dry spots. Unfortunately not all formulas work for everyone 😢",중립,0,0
"I wouldn't really recommend Arencia cleanser since it also has fragrance. Especially for sensitive skin, it's a no from my side.",중립,0,0
"The anua serum is rlly good, I wake up with no redness on my cheeks when I usually do before I use this, and it gets rid of sunburn overnight",긍정,1,0
The Anua Hylouronic acid serum works well on my skin! I noticed how well hydrated my skin feels still after a day after not putting any moisture on.,중립,0,0
I love the Arencia cleanser. Mine came with a spatula so I just put some on my face before getting wet & it stays hygienic.,긍정,1,0
You’re so beautiful ❤ your skin is perfect,긍정,1,0
"Hi, can you make a short of your current morning skincare routine",중립,0,0
love reviews like this thank you,긍정,1,0
"Love this genre of influencers, i only watch you and monica😭🩷",긍정,1,0
"I love the anua ceramide serum for when my eczema is flaring up, bummed it didn't work for you",긍정,1,0
"I love all of those products actually hehe, the rice serum did work very well for me and was one of the reasons why i have a much stronger skin barrier now! I like paring it with the noni ampoule!",긍정,1,0
"Omg, we have the same skin type ❤",중립,0,0
Anua serum broke me out unfortunately. Sad. Cause it's quite expensive here.,중립,0,0
"That Celimax ampoule saved my skin when my barrier was broken *in the winter* many years ago. But I tried it again last summer and while it didn’t break me out, it didn’t repair at all. I went back to the La Roche-Posay Cicaplast B5. Idk if the formula changed or its best used seasonally :(",긍정,1,0
I didn’t try Anua rice serum but I’m using rice milky toner (technically same thing only lighter) and loving it.,중립,0,0
finished two big bottles of noni ampoule and it's one of the game changer for my acne prone skin.,중립,0,0
Use the spatula,중립,0,0
Anua serum can’t wait to try it,중립,0,0
"I was using the Arencia cleanser for a while (the full size comes with a spatula), but moved to the rice cake cleanser and I really like that one even more. I end up going for the white one in both kinds bc I stay away from fragrances, even though the white rice cleanser in the tub doesn't have a many skincare ingredients as the different scented versions, but the white rice cake one is only missing the rosemary oil and green tea compared to the green tea rice cake cleanser",중립,0,0
That anua rice serum made my skin itchy,중립,0,0
Ya! Many said Arencia is just hype,중립,0,0
The fragrance on the celimax one broke me put because of the fragrance:(,중립,0,0
Trying to get the last bit of product from the noni serum is pretty annoying. In the end I kinda gave up 😅,중립,0,0
What’s a good bha serum ? If u know any pls,긍정,1,0
Noni ampoule did not work on me like it did nothing 2 bottles down the drain 😂,중립,0,0
"Putting your own skin on risk just to give reviews,i respect that😢as anua did break me out badly",중립,0,0
Celimax noni product broke me out.,중립,0,0
I personally don’t like arencia and give it away,중립,0,0
"no for noni and anua, i dont see results😢",중립,0,0
Does that mean that products you accept in PR aren’t reviewed objectively? 😅,중립,0,0
My sensitive acne-prone skin seems to hate centella. I tried the Anua heartleaf centella moisturizer and it burned! Is azealaic acid similar to centella?,부정,0,1
Cant buy it whenever i try its sold out😂,중립,0,0
"Long nails hold bacteria, even washed proprely. That's one of the reason doctors, nurses, cooks, .. can't wear them.

Using a spatula might reduce a chance to have break out, even with a cleanser.",중립,0,0
PR doesn’t mean you have to say good thing! If you have to say good things then that’s a sponsor😅😅,긍정,2,0
The Anua AzA serum irritated my skin (many things do to be fair 😅). I LOVE the Cos de Baha serums tho. Azaleic acid is criminally slept on imo.,긍정,1,0
"1: tap the towel gently
2:use both hands to rub until all the toner is off your hands
3:remaining liquid is good for your skin too and it is also not a waste you can use the liquid for any part",긍정,1,0
"Such a beautiful vibe 🌿. My face looks permanently brighter now with #Whiteoncream. Acne scars gone, wrinkles reduced, and that glass skin shine makes me feel younger ✨",중립,0,0
*Your skin is ✨FLAWLESS✨* ❤❤,중립,0,0
"As teenager I tried So Many products , but also there somethings that have help to clear out acne , marks and pigmentation ( like glycolic acid and azeid acid ) sorry if spellings are wrong ( not promoting or something but there's a channel that had this pdf in which they have explained skincare in easy ways which have been helping me ) you can try it",중립,0,0
love your skin tone!!!,긍정,1,0
"1. just tap dry your face 
2. After using every product on your face just wait for 3 mins and apply your next product that way your skin absorbs well.
3.If using a mask I like to squeeze out the leftover product so nothing gets wasted.


Hope this helps girlies ❤",중립,0,0
You are just telling the mistakes but you are not even giving a solution,중립,0,0
what should we do with the toner? Waiting until it's dry before applying the serum?,중립,0,0
"¿He couldn't see my skin?.. but he cared enough to dress himself as I am underneath, with a big dashing smile wherever he's seen ¡and those eyes!, those light grey eyes.",중립,0,0
so flawless,중립,0,0
You are so glowing🌟,중립,0,0
I have been using the Luna silcone brush from foreo and it is so gentle on my face but it cleans out my make up and pores so well,중립,0,0
Glass skin unlocked! 💎✨ My dark elbows/knees finally match my face. #WhiteOnCream’s magic works EVERYWHERE.,중립,0,0
You are so BEAUTIFUL ❤,중립,0,0
The don't dos what about what to do for your flawless completion.. xx,중립,0,0
Oh such a beauty ❤️❤️❤️,중립,0,0
This is so helpful! Planet Ayurveda Alektrona Serum is a great companion to these tips.,긍정,1,0
"Sister, what is your morning skin care routine?",중립,0,0
I’m sitting pretty on this table 😂,중립,0,0
I have pimples on forehead and white Heads on chin and nose please help me ❤❤❤ i trust you so much 💓💓,중립,0,0
"Hi, Thank you for sharing this video. I have seen your video and acknowledge it. Would also request you to understand  you ever notice that when you exercise ie rotate right hand 12 times and left hand 8 times then does the one rotating higher times increases its length or has any farak?Or when you visit a beauty parlour you massage one chin 10 times and another 8 times, does it make the difference? Does one side is lower then other? its kept proportionate by परमात्मा.Surrender to परमात्मा and not to maintenance of the body. Invest your time in chanting. Understand “मौनातले बोलणे”means when you message, the message speaks what have in your mind.
Reflect on the structure of the heart within the rib’s cage; if reversed, it depicts a lotus flower, delicately settled between the ribs without any external support. Even rib’s cage is अव्यक्त.Similarly, understand the placement of the lungs, meticulously positioned to retain the entire respiratory system.
Each individual has a pair of eyes, a pair of ears, singular nose and similarly other body parts. So Uniformity resides in this aspect across all individuals without any exception. As mentioned in Srimad Bhagwat Geeta 9th Adhya,4th Shlok
मया ततमिदं सर्वं जगदव्यक्तमूर्तिना |
मत्स्थानि सर्वभूतानि न चाहं तेष्ववस्थित
By Me, in My unmanifested form, this entire universe is pervaded. All beings are in Me, but I am not in them.
There is no Dharm,जात in creation of human beings. Just like furniture at our home is made from wood, similarly furniture at other’s home is also made from wood. But the looks, shapes of every chair, table is different. Here Wood is तत्त्व.We all come in diverse shapes and forms, much like the variety you see in furniture, but being made from the same basic materials. So You are God-made.
For instance Just as when you visit a shop and ask for your necessities like groceries or vegetables. In similar manner what  you ask in ब्रह्म you receive it. When you offer prayers to the Devi, she with out fail protects you. 
Chanting any devotional Stotras like Srilalita Panchratnam,SriLalita Sahastranam,Sri Mahishasur mardini,Sri Durga Kavach,Sri Durga Chalisa can have profound effects on our skin and overall well-being. You can chant and then immediately massage your  face, you will see a blissful face-glow.
I am writing without any selfish motives. Requesting you to give a thought.
Hari Om Tat Sat.",중립,0,0
What should you cover your eyes and neck with when having a mask on? I’m starting masking next week please tell me! And for the toner I dabbed it in gently until it was fully absorbed. Is that okay?,중립,0,0
You are so beautiful❤,중립,0,0
"Hi so 
I did buy a moisturizer idk what for brand  
But I get a lot of pimples 
So I have now a kids safe tweens safe moisturizer",중립,0,0
The solution is simple,중립,0,0
I don't even do any skin care so i don't have any mistakes,중립,0,0
Ngl when I put sunscreen on even do some people look oily it kinda looks like I have glass skin,중립,0,0
Glass skin🥰😍,중립,0,0
"I used to rub my face hardly with towel but from when you aploaded that old short of yours that like don't rub your face hardly with a towel and moisturizer 🧴 then I never do that, all Thanks to you and I'll always support your channel ❤❤❤",중립,0,0
Looove❤,중립,0,0
My eyes are to sensitive if i put skincare on my eyes theyll get dry and sore,중립,0,0
😺😸😹😻😼😽🙀😿😾❤,중립,0,0
"Glass skin nooo nooo noo 
Oliy skin yessss",중립,0,0
"I’ve been making all of these mistakes, thank you so much",중립,0,0
Fact: your old skin in floating in the Air.,중립,0,0
what should we do instead of wiping our face with a towel??,중립,0,0
For Real,중립,0,0
I don’t think it’s the products or routine I think Asian just naturally have glass skin😭😭😭,중립,0,0
You look like carrie,중립,0,0
*very nice*,중립,0,0
Do you use a lot of Vaseline?,중립,0,0
❤,중립,0,0
❤🎉,중립,0,0
AH!,중립,0,0
I upload shorts for glowing skin 😮❤ check under budget skincare and leave a meaningful comment on your favourite remedy. thankyou for supporting ❤,중립,0,0
You korea,중립,0,0
Jai shree radhe Krishna namaste,중립,0,0
No thanks,중립,0,0
777❤,중립,0,0
❤❤❤😂😂😂😮😮😮😅😊😊😅😢😢😂🎉🎉🎉9love you mere jann,중립,0,0
